File,fLmax,fLavg,fRmax,fRavg,fmax,favg,std,var,SessionLength
2025_06_30_Ruby.csv,3.489029664,1.082320134,3.67468487,1.203407504,6.261066454,2.285727638,1.671741267,2.794718865,519.999
2025_06_30_Tiberius.csv,26.57935722,1.080214853,34.04389397,1.938886948,60.33748823,3.019101802,1.839307257,3.383051187,583.284
2025_07_01_Cheddar.csv,4.877293339,2.28641422,6.403267546,2.564542183,11.28056088,4.850956403,0.664062082,0.440978449,645.981
2025_07_01_Groot.csv,61.99228256,2.079429919,40.71342002,1.570930042,102.7057026,3.650359961,4.219039454,17.80029391,616.989
2025_07_01_GrootP2.csv,15.27507347,5.109310272,16.56840034,4.52739004,29.22624798,9.636700311,5.988866148,35.86651774,371.986
2025_07_02_Zuzu.csv,9.124048439,3.868006693,11.17841197,3.015833999,19.71732673,6.883840692,3.79948312,14.43607198,553.994
2025_07_03_BarryRepeat.csv,7.221865028,3.004771307,6.90480422,2.370951423,13.94976837,5.37572273,1.582547221,2.504455708,573.999
2025_07_03_Kaptain.csv,4.673585172,1.623360753,4.389727298,1.942557047,8.02912271,3.5659178,1.385552188,1.919754866,738.987
2025_07_03_Kinder.csv,14.37981894,3.086651445,11.23801396,1.934826337,25.37742914,5.021477782,1.520015237,2.310446321,529.994
2025_07_03_KinderORSam.csv,8.894031936,2.015657923,8.820776828,1.992883739,17.45626132,4.008541662,4.12309691,16.99992813,213.533
2025_07_03_SamRepeat.csv,5.565845995,-2.616314845,6.443954748,-1.426596115,12.0007289,-4.04291096,3.150587828,9.92620366,383.063
2025_07_03_Sydney.csv,26.20015431,3.629700057,17.47889556,2.972495594,35.11523291,6.602195651,3.752945149,14.08459729,599.985
2025_07_03_TeddyRepeat.csv,9.310293314,4.708316181,6.321666345,3.410762388,14.15324974,8.119078569,2.233903367,4.990324253,502.998
2025_07_04_DudeRepeat.csv,12.391952,5.812308788,8.776188734,4.241055945,20.1838461,10.05336473,3.426342963,11.7398261,534.981
2025_07_04_GrizzyRepeat.csv,209.6223719,1.697712503,152.2708344,-70.41564037,211.8086853,-68.71792787,87.52589437,7660.782185,614.658
2025_07_04_Oscar.csv,17.964239,3.119383001,19.59630838,2.979380098,37.56054738,6.098763099,3.362242457,11.30467434,684.998
2025_07_04_Penelope.csv,23.99664973,4.905434164,18.55998674,2.717003381,40.26146095,7.622437545,2.876969484,8.276953411,523.981
2025_07_04_Pirate.csv,3.735511557,1.412855509,3.822192988,1.137258414,7.330908545,2.550113924,1.301848294,1.69480898,449.976
2025_07_04_TahoeRepeat.csv,9.940695476,5.212925175,16.0389224,8.823374716,24.92274852,14.03629989,3.658736254,13.38635097,578.993
2025_07_04_Whiskey.csv,11.26110179,3.974099946,9.046574926,3.098826645,20.29860487,7.07292659,2.976330938,8.85854585,493.971
2025_07_04_Willow.csv,15.95623258,3.603530489,8.90346665,1.683591447,24.26549371,5.287121935,1.995413061,3.981673283,685.986
2025_07_07_Emilio.csv,1.40273326,0.239035501,1.831468418,0.245579802,2.023111038,0.484615303,0.42937093,0.184359396,280.202
2025_07_07_Lily.csv,1.438703106,0.197863046,1.715484944,0.206078977,1.87505861,0.403942023,0.609331116,0.371284409,97.729
2025_07_07_PrincessPeaches.csv,1.451449041,0.88036374,1.30180904,0.776972534,2.553677601,1.657336275,0.519271431,0.269642819,466.98
2025_07_07_ZZTop.csv,1.631887938,0.31256622,1.831196263,0.331221309,2.197562522,0.643787529,0.491500707,0.241572945,618.878
2025_07_24_Emmy.csv,12.92265464,3.102751757,8.915396119,1.875913994,20.16429628,4.97866575,2.483299402,6.166775919,527.98
