Data Set 1:Time(s),Data Set 1:Force(N),Data Set 2:Time(s),Data Set 2:Force(N)
,,4.3399999999999999,9.6358795166015625
,,4.3600000000000003,9.6400833129882812
,,4.3799999999999999,9.6358795166015625
,,4.4000000000000004,9.608551025390625
,,4.4199999999999999,9.5391921997070312
,,4.4400000000000004,9.5223770141601562
,,4.46,9.54339599609375
,,4.4800000000000004,9.5686187744140625
,,4.5,9.5770263671875
,,4.5199999999999996,9.5833282470703125
,,4.54,9.6547927856445312
,,4.5599999999999996,9.692626953125
,,4.5800000000000001,9.7199554443359375
,,4.5999999999999996,9.709442138671875
,,4.6200000000000001,9.7052383422851562
,,4.6399999999999997,9.6653060913085938
,,4.6600000000000001,9.593841552734375
,,4.6799999999999997,9.55810546875
,,4.7000000000000002,9.5728225708007812
,,4.7199999999999998,9.574920654296875
,,4.7400000000000002,9.5728225708007812
,,4.7599999999999998,9.5980453491210938
,,4.7800000000000002,9.61065673828125
,,4.7999999999999998,9.627471923828125
,,4.8200000000000003,9.5854339599609375
,,4.8399999999999999,9.509765625
,,4.8600000000000003,9.5055618286132812
,,4.8799999999999999,9.593841552734375
,,4.9000000000000004,9.6526947021484375
,,4.9199999999999999,9.6905288696289062
,,4.9400000000000004,9.7178497314453125
,,4.96,9.7514801025390625
,,4.9800000000000004,9.743072509765625
,,5,9.7052383422851562
,,5.0199999999999996,9.6695098876953125
,,5.04,9.6547927856445312
,,5.0599999999999996,9.6505889892578125
,,5.0800000000000001,9.627471923828125
,,5.0999999999999996,9.5875320434570312
,,5.1200000000000001,9.55810546875
,,5.1399999999999997,9.5496978759765625
,,5.1600000000000001,9.59173583984375
,,5.1799999999999997,9.6505889892578125
,,5.2000000000000002,9.6695098876953125
,,5.2199999999999998,9.6737136840820312
,,5.2400000000000002,9.6632003784179688
,,5.2599999999999998,9.6526947021484375
,,5.2800000000000002,9.644287109375
,,5.2999999999999998,9.6148605346679688
,,5.3200000000000003,9.6169586181640625
,,5.3399999999999999,9.6379776000976562
,,5.3600000000000003,9.6316757202148438
,,5.3799999999999999,9.6358795166015625
,,5.4000000000000004,9.61065673828125
,,5.4199999999999999,9.5959396362304688
,,5.4400000000000004,9.59173583984375
,,5.46,9.6064529418945312
,,5.4800000000000004,9.6232681274414062
,,5.5,9.6337738037109375
,,5.5199999999999996,9.6169586181640625
,,5.54,9.6358795166015625
,,5.5599999999999996,9.6232681274414062
,,5.5800000000000001,9.6190643310546875
,,5.5999999999999996,9.6190643310546875
,,5.6200000000000001,9.627471923828125
,,5.6399999999999997,9.6190643310546875
,,5.6600000000000001,9.6316757202148438
,,5.6799999999999997,9.6358795166015625
,,5.7000000000000002,9.65899658203125
,,5.7199999999999998,9.6674041748046875
,,5.7400000000000002,9.65899658203125
,,5.7599999999999998,9.6400833129882812
,,5.7800000000000002,9.6379776000976562
,,5.7999999999999998,9.6295700073242188
,,5.8200000000000003,9.6148605346679688
,,5.8399999999999999,9.6295700073242188
,,5.8600000000000003,9.6884231567382812
,,5.8799999999999999,9.6905288696289062
,,5.9000000000000004,9.6400833129882812
,,5.9199999999999999,9.6001434326171875
,,5.9400000000000004,9.593841552734375
,,5.96,9.5644149780273438
,,5.9800000000000004,9.4950485229492188
,,6,9.4551162719726562
,,6.0199999999999996,9.5013580322265625
,,6.04,9.6337738037109375
,,6.0599999999999996,9.7157516479492188
,,6.0800000000000001,9.7493820190429688
,,6.0999999999999996,9.7998275756835938
,,6.1200000000000001,9.7977218627929688
,,6.1399999999999997,9.795623779296875
,,6.1600000000000001,9.7052383422851562
,,6.1799999999999997,9.642181396484375
,,6.2000000000000002,9.5707168579101562
,,6.2199999999999998,9.5160675048828125
,,6.2400000000000002,9.4992523193359375
,,6.2599999999999998,9.492950439453125
,,6.2800000000000002,9.4824371337890625
,,6.2999999999999998,9.4782333374023438
,,6.3200000000000003,9.5560073852539062
,,6.3399999999999999,9.6484909057617188
,,6.3600000000000003,9.709442138671875
,,6.3799999999999999,9.743072509765625
,,6.4000000000000004,9.7914199829101562
,,6.4199999999999999,9.743072509765625
,,6.4400000000000004,9.6526947021484375
,,6.46,9.5686187744140625
,,6.4800000000000004,9.4719314575195312
,,6.5,9.4214859008789062
,,6.5199999999999996,9.3836517333984375
,,6.54,9.3878555297851562
,,6.5599999999999996,9.5055618286132812
,,6.5800000000000001,9.6400833129882812
,,6.5999999999999996,9.709442138671875
,,6.6200000000000001,9.7640914916992188
,,6.6399999999999997,9.8145370483398438
,,6.6600000000000001,9.8040313720703125
,,6.6799999999999997,9.7472763061523438
,,6.7000000000000002,9.7157516479492188
,,6.7199999999999998,9.6632003784179688
,,6.7400000000000002,9.6505889892578125
,,6.7599999999999998,9.6568984985351562
,,6.7800000000000002,9.6568984985351562
,,6.7999999999999998,9.642181396484375
,,6.8200000000000003,9.6547927856445312
,,6.8399999999999999,9.6547927856445312
,,6.8600000000000003,9.644287109375
,,6.8799999999999999,9.6547927856445312
,,6.9000000000000004,9.6674041748046875
,,6.9199999999999999,9.692626953125
,,6.9400000000000004,9.7199554443359375
,,6.96,9.74517822265625
,,6.9800000000000004,9.7535858154296875
,,7,9.7409744262695312
,,7.0199999999999996,9.6842193603515625
,,7.04,9.6337738037109375
,,7.0599999999999996,9.6127548217773438
,,7.0800000000000001,9.6148605346679688
,,7.0999999999999996,9.6253662109375
,,7.1200000000000001,9.644287109375
,,7.1399999999999997,9.6800155639648438
,,7.1600000000000001,9.694732666015625
,,7.1799999999999997,9.7052383422851562
,,7.2000000000000002,9.6800155639648438
,,7.2199999999999998,9.6484909057617188
,,7.2400000000000002,9.6400833129882812
,,7.2599999999999998,9.6316757202148438
,,7.2800000000000002,9.6043472290039062
,,7.2999999999999998,9.6043472290039062
,,7.3200000000000003,9.6148605346679688
,,7.3399999999999999,9.59173583984375
,,7.3600000000000003,9.5854339599609375
,,7.3799999999999999,9.5980453491210938
,,7.4000000000000004,9.644287109375
,,7.4199999999999999,9.6695098876953125
,,7.4400000000000004,9.6674041748046875
,,7.46,9.661102294921875
,,7.4800000000000004,9.6526947021484375
,,7.5,9.6379776000976562
,,7.5199999999999996,9.6379776000976562
,,7.54,9.6526947021484375
,,7.5599999999999996,9.6337738037109375
,,7.5800000000000001,9.6400833129882812
,,7.5999999999999996,9.6337738037109375
,,7.6200000000000001,9.627471923828125
,,7.6399999999999997,9.6337738037109375
,,7.6600000000000001,9.627471923828125
,,7.6799999999999997,9.6253662109375
,,7.7000000000000002,9.6484909057617188
,,7.7199999999999998,9.6674041748046875
,,7.7400000000000002,9.6863250732421875
,,7.7599999999999998,9.6968307495117188
,,7.7800000000000002,9.661102294921875
,,7.7999999999999998,9.6316757202148438
,,7.8200000000000003,9.6211624145507812
,,7.8399999999999999,9.6316757202148438
,,7.8600000000000003,9.6190643310546875
,,7.8799999999999999,9.6253662109375
,,7.9000000000000004,9.6400833129882812
,,7.9199999999999999,9.6253662109375
,,7.9400000000000004,9.608551025390625
,,7.96,9.6358795166015625
,,7.9800000000000004,9.6463851928710938
,,8,9.6547927856445312
,,8.0199999999999996,9.644287109375
,,8.0399999999999991,9.6400833129882812
,,8.0600000000000005,9.6316757202148438
,,8.0800000000000001,9.6337738037109375
,,8.0999999999999996,9.6316757202148438
,,8.1199999999999992,9.642181396484375
,,8.1400000000000006,9.6547927856445312
,,8.1600000000000001,9.6547927856445312
,,8.1799999999999997,9.6568984985351562
,,8.1999999999999993,9.6358795166015625
,,8.2200000000000006,9.6253662109375
,,8.2400000000000002,9.6190643310546875
,,8.2599999999999998,9.6400833129882812
,,8.2799999999999994,9.6674041748046875
,,8.3000000000000007,9.6632003784179688
,,8.3200000000000003,9.6505889892578125
,,8.3399999999999999,9.6253662109375
,,8.3599999999999994,9.61065673828125
,,8.3800000000000008,9.6211624145507812
,,8.4000000000000004,9.642181396484375
,,8.4199999999999999,9.6400833129882812
,,8.4399999999999995,9.642181396484375
,,8.4600000000000009,9.6568984985351562
,,8.4800000000000004,9.6737136840820312
,,8.5,9.6674041748046875
,,8.5199999999999996,9.6337738037109375
,,8.5399999999999991,9.61065673828125
,,8.5600000000000005,9.5980453491210938
,,8.5800000000000001,9.5959396362304688
,,8.5999999999999996,9.6064529418945312
,,8.6199999999999992,9.6295700073242188
,,8.6400000000000006,9.6737136840820312
,,8.6600000000000001,9.6884231567382812
,,8.6799999999999997,9.6674041748046875
,,8.6999999999999993,9.6632003784179688
,,8.7200000000000006,9.6568984985351562
,,8.7400000000000002,9.6505889892578125
,,8.7599999999999998,9.6190643310546875
,,8.7799999999999994,9.6043472290039062
,,8.8000000000000007,9.6190643310546875
,,8.8200000000000003,9.6337738037109375
,,8.8399999999999999,9.6358795166015625
,,8.8599999999999994,9.6632003784179688
,,8.8800000000000008,9.7220535278320312
,,8.9000000000000004,9.7304611206054688
,,8.9199999999999999,9.6842193603515625
,,8.9399999999999995,9.6526947021484375
,,8.9600000000000009,9.6211624145507812
,,8.9800000000000004,9.6211624145507812
,,9,9.6190643310546875
,,9.0199999999999996,9.61065673828125
,,9.0399999999999991,9.6064529418945312
,,9.0600000000000005,9.6064529418945312
,,9.0800000000000001,9.6148605346679688
,,9.0999999999999996,9.6379776000976562
,,9.1199999999999992,9.6526947021484375
,,9.1400000000000006,9.6632003784179688
,,9.1600000000000001,9.65899658203125
,,9.1799999999999997,9.642181396484375
,,9.1999999999999993,9.6148605346679688
,,9.2200000000000006,9.5959396362304688
,,9.2400000000000002,9.6127548217773438
,,9.2599999999999998,9.6358795166015625
,,9.2799999999999994,9.6484909057617188
,,9.3000000000000007,9.6526947021484375
,,9.3200000000000003,9.6632003784179688
,,9.3399999999999999,9.6568984985351562
,,9.3599999999999994,9.6358795166015625
,,9.3800000000000008,9.6400833129882812
,,9.4000000000000004,9.6358795166015625
,,9.4199999999999999,9.6400833129882812
,,9.4399999999999995,9.627471923828125
,,9.4600000000000009,9.6295700073242188
,,9.4800000000000004,9.6148605346679688
,,9.5,9.6190643310546875
,,9.5199999999999996,9.6400833129882812
,,9.5399999999999991,9.661102294921875
,,9.5600000000000005,9.6884231567382812
,,9.5800000000000001,9.67791748046875
,,9.5999999999999996,9.65899658203125
,,9.6199999999999992,9.6337738037109375
,,9.6400000000000006,9.6232681274414062
,,9.6600000000000001,9.6001434326171875
,,9.6799999999999997,9.6232681274414062
,,9.6999999999999993,9.6505889892578125
,,9.7200000000000006,9.6653060913085938
,,9.7400000000000002,9.6653060913085938
,,9.7599999999999998,9.6463851928710938
,,9.7799999999999994,9.6295700073242188
,,9.8000000000000007,9.6190643310546875
,,9.8200000000000003,9.6316757202148438
,,9.8399999999999999,9.6547927856445312
,,9.8599999999999994,9.6547927856445312
,,9.8800000000000008,9.6674041748046875
,,9.9000000000000004,9.6484909057617188
,,9.9199999999999999,9.642181396484375
,,9.9399999999999995,9.6379776000976562
,,9.9600000000000009,9.6379776000976562
,,9.9800000000000004,9.6295700073242188
,,10,9.6211624145507812
,,10.02,9.6169586181640625
,,10.039999999999999,9.6064529418945312
,,10.06,9.6169586181640625
,,10.08,9.6190643310546875
,,10.1,9.6358795166015625
,,10.119999999999999,9.6505889892578125
,,10.140000000000001,9.6737136840820312
,,10.16,9.6737136840820312
,,10.18,9.642181396484375
,,10.199999999999999,9.627471923828125
,,10.220000000000001,9.608551025390625
,,10.24,9.6148605346679688
,,10.26,9.627471923828125
,,10.279999999999999,9.6484909057617188
,,10.300000000000001,9.6568984985351562
,,10.32,9.661102294921875
,,10.34,9.6568984985351562
,,10.359999999999999,9.661102294921875
,,10.380000000000001,9.6526947021484375
,,10.4,9.642181396484375
,,10.42,9.6316757202148438
,,10.44,9.642181396484375
,,10.460000000000001,9.6547927856445312
,,10.48,9.6484909057617188
,,10.5,9.6358795166015625
,,10.52,9.6253662109375
,,10.539999999999999,9.6064529418945312
,,10.56,9.5959396362304688
,,10.58,9.5854339599609375
,,10.6,9.6253662109375
,,10.619999999999999,9.6737136840820312
,,10.640000000000001,9.7031402587890625
,,10.66,9.7031402587890625
,,10.68,9.6884231567382812
,,10.699999999999999,9.6695098876953125
,,10.720000000000001,9.6400833129882812
,,10.74,9.6211624145507812
,,10.76,9.6064529418945312
,,10.779999999999999,9.5812301635742188
,,10.800000000000001,9.5980453491210938
,,10.82,9.6169586181640625
,,10.84,9.6316757202148438
,,10.859999999999999,9.6463851928710938
,,10.880000000000001,9.6463851928710938
,,10.9,9.6379776000976562
,,10.92,9.644287109375
,,10.94,9.6358795166015625
,,10.960000000000001,9.6358795166015625
,,10.98,9.6211624145507812
,,11,9.6253662109375
,,11.02,9.627471923828125
,,11.039999999999999,9.6232681274414062
,,11.06,9.6337738037109375
,,11.08,9.6632003784179688
,,11.1,9.6716079711914062
,,11.119999999999999,9.6695098876953125
,,11.140000000000001,9.6568984985351562
,,11.16,9.6295700073242188
,,11.18,9.6169586181640625
,,11.199999999999999,9.6253662109375
,,11.220000000000001,9.6358795166015625
,,11.24,9.642181396484375
,,11.26,9.6547927856445312
,,11.279999999999999,9.6716079711914062
,,11.300000000000001,9.6484909057617188
,,11.32,9.6337738037109375
,,11.34,9.6337738037109375
,,11.359999999999999,9.6379776000976562
,,11.380000000000001,9.65899658203125
,,11.4,9.6568984985351562
,,11.42,9.6358795166015625
,,11.44,9.627471923828125
,,11.460000000000001,9.644287109375
,,11.48,9.65899658203125
,,11.5,9.661102294921875
,,11.52,9.6632003784179688
,,11.539999999999999,9.6632003784179688
,,11.56,9.6400833129882812
,,11.58,9.6232681274414062
,,11.6,9.627471923828125
,,11.619999999999999,9.6316757202148438
,,11.640000000000001,9.6358795166015625
,,11.66,9.6295700073242188
,,11.68,9.6211624145507812
,,11.699999999999999,9.6190643310546875
,,11.720000000000001,9.6253662109375
,,11.74,9.6695098876953125
,,11.76,9.6716079711914062
,,11.779999999999999,9.6695098876953125
,,11.800000000000001,9.6674041748046875
,,11.82,9.6358795166015625
,,11.84,9.6316757202148438
,,11.859999999999999,9.6358795166015625
,,11.880000000000001,9.6505889892578125
,,11.9,9.661102294921875
,,11.92,9.6463851928710938
,,11.94,9.6358795166015625
,,11.960000000000001,9.6358795166015625
,,11.98,9.627471923828125
,,12,9.6190643310546875
,,12.02,9.6190643310546875
,,12.039999999999999,9.6211624145507812
,,12.06,9.644287109375
,,12.08,9.6547927856445312
,,12.1,9.6484909057617188
,,12.119999999999999,9.6653060913085938
,,12.140000000000001,9.6674041748046875
,,12.16,9.6695098876953125
,,12.18,9.6400833129882812
,,12.199999999999999,9.6316757202148438
,,12.220000000000001,9.6295700073242188
,,12.24,9.6484909057617188
,,12.26,9.661102294921875
,,12.279999999999999,9.6463851928710938
,,12.300000000000001,9.627471923828125
,,12.32,9.6148605346679688
,,12.34,9.6295700073242188
,,12.359999999999999,9.6505889892578125
,,12.380000000000001,9.65899658203125
,,12.4,9.6526947021484375
,,12.42,9.644287109375
,,12.44,9.6295700073242188
,,12.460000000000001,9.6232681274414062
,,12.48,9.6253662109375
,,12.5,9.6358795166015625
,,12.52,9.6463851928710938
,,12.539999999999999,9.6484909057617188
,,12.56,9.6463851928710938
,,12.58,9.6253662109375
,,12.6,9.6253662109375
,,12.619999999999999,9.6358795166015625
,,12.640000000000001,9.627471923828125
,,12.66,9.6379776000976562
,,12.68,9.6547927856445312
,,12.699999999999999,9.6737136840820312
,,12.720000000000001,9.6737136840820312
,,12.74,9.6568984985351562
,,12.76,9.6316757202148438
,,12.779999999999999,9.6316757202148438
,,12.800000000000001,9.6379776000976562
,,12.82,9.6211624145507812
,,12.84,9.6043472290039062
,,12.859999999999999,9.6211624145507812
,,12.880000000000001,9.6632003784179688
,,12.9,9.6800155639648438
,,12.92,9.6526947021484375
,,12.94,9.6484909057617188
,,12.960000000000001,9.642181396484375
,,12.98,9.6295700073242188
,,13,9.6127548217773438
,,13.02,9.6253662109375
,,13.039999999999999,9.6400833129882812
,,13.06,9.6295700073242188
,,13.08,9.6211624145507812
,,13.1,9.6064529418945312
,,13.119999999999999,9.6190643310546875
,,13.140000000000001,9.6821212768554688
,,13.16,9.7157516479492188
,,13.18,9.7136459350585938
,,13.199999999999999,9.6716079711914062
,,13.220000000000001,9.642181396484375
,,13.24,9.6190643310546875
,,13.26,9.61065673828125
,,13.279999999999999,9.6064529418945312
,,13.300000000000001,9.6190643310546875
,,13.32,9.6568984985351562
,,13.34,9.6653060913085938
,,13.359999999999999,9.6379776000976562
,,13.380000000000001,9.6064529418945312
,,13.4,9.6169586181640625
,,13.42,9.6358795166015625
,,13.44,9.6526947021484375
